Indicator,Disaggregation combinations using this value
#1-1-1,1
#1-2-1,9
#1-2-2,9
#1-4-1,5
#17-1-1,3
#17-1-2,1
#17-11-1,1
#17-8-1,3
#17-8-2,1
#17-8-3,1
#18-1-2,3
#18-2-1,1
#18-3-1,1
#18-3-2,1
#2-1-1,1
#2-2-1,20
#2-2-2,20
#2-a-1,1
#3-1-2,11
#3-3-1,1
#3-3-4,1
#3-4-1,1
#3-7-1,8
#3-7-2,1
#3-8-1,2
#3-8-2,1
#3-9-3,1
#3-a-1,2
#4-1-1,2
#4-1-2,7
#4-1-6,2
#4-2-3,2
#4-3-3,3
#4-3-4,2
#4-5-1-a,3
#4-5-1-b,3
#4-6-1,9
#4-b-1,1
#4-c-1,9
#5-2-1,1
#5-3-1,16
#5-3-4,4
#5-4-1,2
#5-5-1,2
#5-5-2,6
#5-b-1,15
#8-1-1,1
#8-2-1,1
#8-3-1,3
#8-3-2,1
#8-3-3,1
#8-5-2,7
#8-5-3,1
#8-5-4,3
#8-6-1,3
#8-7-1,15
