Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,20.2,,Percent,Total government revenue as a proportion of GDP [17.1.1]
2015,16.3,,Percent,Total government revenueas a percentage of GDP_Domestic revenue
2015,3.9,,Percent,Total government revenueas a percentage of GDP_Grants
2016,16.4,,Percent,Total government revenue as a proportion of GDP [17.1.1]
2016,15.0,,Percent,Total government revenueas a percentage of GDP_Domestic revenue
2016,1.4,,Percent,Total government revenueas a percentage of GDP_Grants
2017,16.3,,Percent,Total government revenue as a proportion of GDP [17.1.1]
2017,14.6,,Percent,Total government revenueas a percentage of GDP_Domestic revenue
2017,1.7,,Percent,Total government revenueas a percentage of GDP_Grants
2018,16.2,,Percent,Total government revenue as a proportion of GDP [17.1.1]
2018,14.3,,Percent,Total government revenueas a percentage of GDP_Domestic revenue
2018,1.9,,Percent,Total government revenueas a percentage of GDP_Grants
2019,15.3,,Percent,Total government revenue as a proportion of GDP [17.1.1]
2019,13.6,,Percent,Total government revenueas a percentage of GDP_Domestic revenue
2019,1.7,,Percent,Total government revenueas a percentage of GDP_Grants
