Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2015,VC_DSR_AFFCT,,PER_100000_POP,,996.75
2016,VC_DSR_AFFCT,,PER_100000_POP,,358.1
2017,VC_DSR_AFFCT,,PER_100000_POP,,3805.69
2018,VC_DSR_AFFCT,,PER_100000_POP,,9270.11
2019,VC_DSR_AFFCT,,PER_100000_POP,,10795.47
2015,VC_DSR_MORT,,PER_100000_POP,,0.1
2016,VC_DSR_MORT,,PER_100000_POP,,0.07
2017,VC_DSR_MORT,,PER_100000_POP,,0.14
2018,VC_DSR_MORT,,PER_100000_POP,,0.91
2019,VC_DSR_MORT,,PER_100000_POP,,0.37
2015,VC_DSR_IJILN,,PER_100000_POP,,0.38
2016,VC_DSR_IJILN,,PER_100000_POP,,0.0
2017,VC_DSR_IJILN,,PER_100000_POP,,0.0
2018,VC_DSR_IJILN,,PER_100000_POP,,0.02
2019,VC_DSR_IJILN,,PER_100000_POP,,0.22
2015,VC_DSR_MISS,,PER_100000_POP,,0.0
2016,VC_DSR_MISS,,PER_100000_POP,,0.0
2017,VC_DSR_MISS,,PER_100000_POP,,0.0
2018,VC_DSR_MISS,,PER_100000_POP,,0.37
2019,VC_DSR_MISS,,PER_100000_POP,,0.99
2015,VC_DSR_PDYN,,PER_100000_POP,,1.37
2016,VC_DSR_PDYN,,PER_100000_POP,,0.0
2017,VC_DSR_PDYN,,PER_100000_POP,,0.0
2018,VC_DSR_PDYN,,PER_100000_POP,,0.0
2019,VC_DSR_PDYN,,PER_100000_POP,,0.0
