Year,SERIES,REF_AREA,SEX,EDUCATION_LEV,UNIT_MEASURE,GeoCode,Value
2015,SE_TRA_GRDL,,,ISCED11_10,PT,,98.4
2015,SE_TRA_GRDL,,M,ISCED11_10,PT,,98.7
2015,SE_TRA_GRDL,,F,ISCED11_10,PT,,98.1
2015,SE_TRA_GRDL,,,ISCED11_24,PT,,99.5
2015,SE_TRA_GRDL,,M,ISCED11_24,PT,,99.4
2015,SE_TRA_GRDL,,F,ISCED11_24,PT,,99.6
2015,SE_TRA_GRDL,,,ISCED11_34,PT,,99.0
2016,SE_TRA_GRDL,,,ISCED11_10,PT,,97.5
2016,SE_TRA_GRDL,,M,ISCED11_10,PT,,97.8
2016,SE_TRA_GRDL,,F,ISCED11_10,PT,,97.2
2016,SE_TRA_GRDL,,,ISCED11_24,PT,,96.5
2016,SE_TRA_GRDL,,M,ISCED11_24,PT,,96.2
2016,SE_TRA_GRDL,,F,ISCED11_24,PT,,96.7
2016,SE_TRA_GRDL,,,ISCED11_34,PT,,98.8
2017,SE_TRA_GRDL,,,ISCED11_10,PT,,97.0
2017,SE_TRA_GRDL,,M,ISCED11_10,PT,,97.4
2017,SE_TRA_GRDL,,F,ISCED11_10,PT,,96.7
2017,SE_TRA_GRDL,,,ISCED11_24,PT,,94.7
2017,SE_TRA_GRDL,,M,ISCED11_24,PT,,94.2
2017,SE_TRA_GRDL,,F,ISCED11_24,PT,,95.2
2017,SE_TRA_GRDL,,,ISCED11_34,PT,,98.4
2017,SE_TRA_GRDL,,M,ISCED11_34,PT,,98.7
2017,SE_TRA_GRDL,,F,ISCED11_34,PT,,98.1
2018,SE_TRA_GRDL,,,ISCED11_10,PT,,97.0
2018,SE_TRA_GRDL,,M,ISCED11_10,PT,,97.4
2018,SE_TRA_GRDL,,F,ISCED11_10,PT,,96.7
2018,SE_TRA_GRDL,,,ISCED11_24,PT,,94.8
2018,SE_TRA_GRDL,,M,ISCED11_24,PT,,94.2
2018,SE_TRA_GRDL,,F,ISCED11_24,PT,,95.2
2018,SE_TRA_GRDL,,,ISCED11_34,PT,,98.4
2018,SE_TRA_GRDL,,M,ISCED11_34,PT,,98.7
2018,SE_TRA_GRDL,,F,ISCED11_34,PT,,98.1
